ticker,last_close,expected_close_10bar,expected_return_10bar,median_return_10bar,probability_up,downside_p10,expected_peak_return_10bar,forecast_dispersion,predicted_up,rank
NATO,660.0,666.94684,0.010525494199810614,0.010859818892045459,1.0,0.00354499585700756,0.019142678000710234,0.006750802894388012,True,78
TGKA,4810.0,4859.7363,0.010340213260135168,0.01154972956730771,1.0,0.002049664598492784,0.013910574486746308,0.008082763230010908,True,79
EURO,1950.0,1969.9167,0.010213729467147426,0.0039528245192308464,0.8,-0.0019743088942307807,0.012913636818910178,0.014126845771457132,True,80
CTRA,570.0,575.77325,0.010128537897478074,0.01215959515487941,0.8,0.0010654596696820563,0.012765620716831138,0.008716733602353154,True,81
KAQI,93.0,93.921486,0.009908401325184845,0.009355114352318505,0.8,-0.0035030077862482573,0.01575855542254705,0.014980938210308064,True,82
PSAB,424.0,428.14325,0.00977181488612917,0.011108686339180496,1.0,0.0008303228414284103,0.01560552345131927,0.00865239966710351,True,83
TARA,30.0,30.290873,0.009695727030436219,0.007819811503092522,0.6,-0.021024958292643236,0.020256716410319075,0.031988544767139034,True,84
SPRE,89.0,89.85038,0.009554779395628498,0.009399928403704294,0.8,0.001463609331109561,0.014264173186227191,0.00819114901283741,True,85
ERAL,304.0,306.87457,0.009455811349969156,0.0104425329911082,0.8,0.002517820659436687,0.014324368928608156,0.006827937779892214,True,86
SIMP,590.0,595.5336,0.009379055217161003,0.008204262943591,0.8,0.001158612784692803,0.01263529114804025,0.008437081497398526,True,87
NISP,1270.0,1281.7516,0.00925321804256889,0.01258535310039366,1.0,0.0019210791400098514,0.010727000799704723,0.0068396349001496205,True,88
DRMA,935.0,943.4618,0.009050097134024049,0.014414676115474645,0.8,-0.0023829430564839657,0.012236824239638988,0.010281527305684535,True,89
GOLD,266.0,268.393,0.008996329630227918,0.008176072199541862,1.0,0.007226493663357614,0.01581849980175045,0.001977590872142774,True,90
GGRM,19025.0,19195.504,0.008962077036793659,0.007456985052562315,1.0,0.004218770532194505,0.010756426576872525,0.005360277791449335,True,91
RICY,77.0,77.673965,0.008752798105215075,0.009258617054332285,1.0,0.0032813134131493894,0.016961253773082375,0.0054940118282219945,True,92
GIAA,53.0,53.459187,0.008663897244435503,0.009922675366671685,1.0,0.003402206132996799,0.017984080764482612,0.005366278441909399,True,93
CPIN,3240.0,3268.007,0.008644175588348735,0.009379295066550997,0.8,-0.0020805453076774725,0.011338840060763888,0.010545028012299205,True,94
NEST,695.0,700.866,0.008440292687724792,0.003858914821267989,0.6,-0.004215008852293178,0.015040537882194283,0.013972103043086891,True,95
CTTH,126.0,127.06325,0.008438425215463785,0.006543537927052423,0.8,-0.005127158997550851,0.04273793054005463,0.014514714152647438,True,96
PTSN,266.0,268.24304,0.008432511637981643,0.00903010547609262,0.6,-0.002722099132107658,0.01465812052102915,0.010690956897562932,True,97
MBTO,118.0,118.98708,0.00836515264996025,0.011803707834017407,0.8,1.8232959811981275e-05,0.014671506720074135,0.007704220397006019,True,98
SAFE,372.0,375.08466,0.008292134602864553,0.011505619172127002,0.8,-0.0028563796832997033,0.01285867998676915,0.010925860197530553,True,99
AYAM,412.0,415.3523,0.008136593716815832,0.013566841199559976,0.8,-0.006965548320881365,0.011202232583055216,0.01405084374972713,True,100
BPTR,74.0,74.59929,0.008098478575010582,0.009235897579708663,1.0,0.003463167757601404,0.013348450531830602,0.00448223026868652,True,101
PLAN,39.0,39.31313,0.008028940054086586,0.012944832826272012,0.8,-0.0013896648700419956,0.016153130164513252,0.008492195431567871,True,102
BSDE,580.0,584.5492,0.007843417463631463,0.010443957098599244,0.8,-0.0006707974137931004,0.01457319588496766,0.007775204326258471,True,103
WGSH,155.0,156.21158,0.007816555884576614,0.012569698210685543,0.8,-0.03750381961945568,0.012768160912298376,0.04620500555644381,True,104
UNIQ,109.0,109.83456,0.007656524378225349,0.006859875600272458,1.0,0.004544879318377282,0.013189907248960742,0.004024854588135391,True,105
ARGO,1165.0,1173.8883,0.007629425965665226,0.010442093615879777,0.8,-0.0027644682135193,0.015286933342274623,0.009718495963975591,True,106
WIIM,1715.0,1727.9011,0.007522577669460628,0.008191095913812063,0.8,-0.0018690779883382413,0.011099444241982549,0.009858860739230632,True,107
MUTU,108.0,108.80123,0.0074188514992042705,0.007179472181532143,1.0,0.00517339353208186,0.010603261876989345,0.002304656781232148,True,108
NAYZ,55.0,55.405903,0.007380079789595229,0.010115536776456047,0.8,0.0010397616299716362,0.012097917036576745,0.005774393140858158,True,109
LCKM,107.0,107.77964,0.007286356988354248,0.0029002394631645334,1.0,0.001042431982878167,0.01627291385258469,0.007850078556723114,True,110
LIVE,202.0,203.46896,0.007272051820660619,0.012494531008276688,0.8,-0.00475284085415375,0.011168632885016993,0.01120437098253574,True,111
PBRX,26.0,26.186672,0.0071797444270207626,0.0024547576904296875,0.8,-0.024954854525052573,0.026799715482271624,0.03350751732053039,True,112
GWSA,125.0,125.89409,0.007152697753906256,0.008268005371093734,1.0,0.0029921630859374828,0.01063426513671879,0.003964165978778326,True,113
LAJU,64.0,64.4543,0.00709836483001709,0.011003494262695312,0.8,-0.00461130142211914,0.014490890502929687,0.011431525101909838,True,114
WEHA,102.0,102.714355,0.007003514906939378,0.006209055582682366,0.8,0.0011072046616498413,0.014082530900543854,0.006124630107723905,True,115
PRIM,102.0,102.705666,0.006918230243757683,0.009749393837124698,0.8,-0.002099100748697902,0.011693707634420968,0.008845316973731665,True,116
TRST,454.0,457.07635,0.006776152623382425,0.009169389497866165,0.8,-0.0003402642741602733,0.01376986734667538,0.0070831803788316845,True,117
JKON,66.0,66.4374,0.00662726199988164,0.006355863628965341,1.0,0.003647752241654878,0.014356994628906295,0.003187427591211819,True,118
SAGE,33.0,33.21788,0.006602431788588969,0.016620867180101806,0.8,-0.019231761585582416,0.02087071736653643,0.024522040407842848,True,119
HMSP,730.0,734.7358,0.006487368230950375,0.0035189693921233722,0.6,-0.005954439346104468,0.010097622806078777,0.013173770327045533,True,120
BEER,74.0,74.46933,0.006342295053842895,0.010244833456503288,0.8,-0.004916856095597532,0.01960828626478035,0.010664234657924297,True,121
ASRM,260.0,261.61798,0.006223074106069681,0.006528766338641745,1.0,0.0031827016977163504,0.006699124849759608,0.0029922807743996546,True,122
UANG,2190.0,2203.1794,0.006018055258276233,0.007504147046232923,0.6,-0.004691156535388141,0.010339210545091303,0.010415756573812855,True,123
UNIC,12650.0,12726.127,0.006017925518774758,0.005833127470355803,1.0,0.0041274703557312884,0.00792754137845848,0.0019044590124978904,True,124
TSPC,2840.0,2857.0835,0.006015384297975368,0.005361895494058189,1.0,0.0014296840613996053,0.008901968942561655,0.004795767006725074,True,125
JARR,1900.0,1911.3834,0.005991275185032929,-0.0003664036800986592,0.4,-0.0050800524259868585,0.011989013671875015,0.01564057373145457,False,126
KOPI,208.0,209.2441,0.005981151874248835,0.0009494928213267251,0.8,-0.003390194819523673,0.012851876478928803,0.011530815777406422,True,127
SILO,2060.0,2072.2734,0.005957967517445373,0.0029078807645630533,0.6,-0.004740796135467229,0.011482241732402887,0.013699277864769694,True,128
MPXL,154.0,154.91556,0.005945121467887638,0.005159749613179887,0.6,-0.0011970024604301744,0.007006558504971583,0.007282645851025739,True,129
PORT,860.0,865.0487,0.005870574241460758,0.0032489155614099374,0.8,-0.0004637252452761808,0.010039630268895382,0.007209171679004799,True,130
SMBR,161.0,161.94423,0.005864739269943709,0.007927367405861752,0.8,-0.004155546389751574,0.008779319621020965,0.010053016569954021,True,131
KOTA,150.0,150.87497,0.005833129882812438,-0.0012051391601562988,0.4,-0.03310984293619794,0.01690236409505206,0.04421533202553243,False,132
PRAY,720.0,724.09894,0.005692986382378451,0.0003440856933594194,0.6,-0.0017793782552083526,0.01206490410698784,0.009876492667247876,True,133
SCCO,2270.0,2282.906,0.005685486646475768,0.006312379542951607,0.8,0.0010064186398678569,0.01022090962279738,0.004608000675214741,True,134
ANJT,1445.0,1453.1287,0.005625422388624579,0.004274741836072682,0.8,-0.00017223318555366048,0.009268456693339066,0.005967914106376448,True,135
STRK,67.0,67.37105,0.005538029457206162,0.005082770959654814,0.8,-1.1910965193551127e-05,0.013344562587453312,0.006175257837115641,True,136
BTPS,1000.0,1005.4064,0.005406384277343768,0.0024766235351563193,0.6,-0.0019496704101562789,0.006271813964843753,0.008178853987783632,True,137
BBLD,580.0,583.11383,0.0053686312971444,0.01051235856681032,0.8,-0.009652394261853447,0.01696745773841597,0.015403888186793852,True,138
ARKO,4660.0,4684.5664,0.005271781954130872,-0.007529590262875585,0.4,-0.019594558912285433,0.02232660776555797,0.029284251208550185,False,139
ELIT,171.0,171.901,0.005269029405381986,0.0019152011090552978,0.6,-0.004289022523757335,0.014162226448282179,0.011558933641848243,True,140
TOOL,65.0,65.33786,0.005197847806490352,0.002275202824519207,0.8,-0.0021272395207331705,0.014930795522836516,0.008428025183646536,True,141
DSSA,840.0,844.3621,0.005192987351190448,-0.0015889485677083037,0.4,-0.012293134416852713,0.017608846028645875,0.024890678435065275,False,142
MLIA,230.0,231.19067,0.005176829462466048,0.00528232740319301,0.8,-0.0030723638119904747,0.00824713665506116,0.00827202069954898,True,143
INKP,8200.0,8242.391,0.0051696122332316905,0.0016833793826218635,1.0,0.0009660108612804308,0.012495117187500026,0.005550966851568803,True,144
ALII,720.0,723.7214,0.005168609619140651,0.004888831244574732,0.8,-0.0011382548014323033,0.008783145480685794,0.006253799832926465,True,145
DOID,210.0,211.07803,0.005133449009486623,8.501325334830945e-05,0.6,-0.007800234840029762,0.014312656947544643,0.01604933422803888,True,146
LTLS,810.0,814.1249,0.005092456958912051,0.006355342158564925,0.6,-0.0037892132040894698,0.010821322217399709,0.008419332751597782,True,147
ISEA,79.0,79.400734,0.0050726009320609,0.005111887485166111,0.8,-0.004459236241594167,0.008870706678945784,0.009432377590364598,True,148
VINS,139.0,139.70294,0.005057135931879531,0.004983147271245603,0.8,0.0010181673996740414,0.009486356227517945,0.004072654285582221,True,149
SMSM,1775.0,1783.9421,0.005037824603873231,0.003916703345070438,0.8,-0.0018003273547535057,0.0067613473811619414,0.008011761393320839,True,150
DKFT,655.0,658.29395,0.005028924141221402,0.004764096791507688,1.0,0.001806547441555395,0.00991548261569659,0.003931320134003498,True,151
DSNG,1360.0,1366.7657,0.004974796070772047,-0.0026331284466911686,0.4,-0.011560291963465086,0.014473697437959565,0.019825309809114313,False,152
HELI,182.0,182.89865,0.0049376938369247725,0.007091228778545622,0.8,-0.004638302981198494,0.009811887636289462,0.00909566917686841,True,153
GTRA,242.0,243.17029,0.004835863349851532,0.00673498989136756,0.6,-0.007777707438823577,0.010036058662351532,0.012707890906251466,True,154
BSIM,700.0,703.36395,0.004805698939732128,0.005390799386160605,0.8,0.0010993826729910339,0.01264214215959818,0.003560824950477278,True,155
REAL,50.0,50.23751,0.004750259399414114,0.005156860351562598,1.0,0.0024312133789062607,0.008250030517578156,0.002156387900222336,True,156
ESTA,175.0,175.82018,0.0046867152622767526,0.003664899553571521,1.0,0.00173889160156242,0.013751220703125,0.003996451163395476,True,157
AKRA,1445.0,1451.7516,0.004672344696150544,0.006067528114186871,0.8,-0.00011103752162624483,0.008335535386029403,0.0043647478639493005,True,158
